×´Ì¬,action,,,,,,,,,,,,,,,,,,,,,,,,,,goto,,,,,,,,,,,,,,,
×Ö·û,:=,num,for,program,do,while,else,end,id,if,^,downto,(,),*,then,+,-,.,/,;,to,<,begin,>,$,S',S,compound_stmt,stmts,stmt,init,if_stmt,for_stmt,inc,dec,bool,expr,factor,M,N,
0,,,,s1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
1,,,,,,,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,s4,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,s5,,,,,6,,,,,,,,,,,,,
5,,,s7,,,s8,r11,r11,s9,s10,,,,,,,,,,,r11,,,s5,,,,,11,12,13,14,15,16,,,,,,,,
6,,,,,,,,,,,,,,,,,,,s17,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,s9,,,,,,,,,,,,,,,,,,,,,,,18,,,19,20,,,,,,
8,,r29,r29,,,r29,r29,r29,r29,r29,,,r29,,,,,,,,r29,,,r29,,,,,,,,,,,,,,,,21,,
9,s22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,s23,,,,,,,s24,,,,s25,,,,,,,,,,,,,,,,,,,,,,,,26,27,28,,,
11,,,,,,,r7,r7,,,,,,,,,,,,,r7,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,s29,,,,,,,,,,,,,s30,,,,,,,,,,,,,,,,,,,,,
13,,r29,r29,,,r29,r29,r29,r29,r29,,,r29,,,,,,,,r29,,,r29,,,,,,,,,,,,,,,,31,,
14,,,,,,,r5,r5,,,,,,,,,,,,,r5,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,r8,r8,,,,,,,,,,,,,r8,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,r9,r9,,,,,,,,,,,,,r9,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,s32,,,,,,,,,,s33,,,,,,,,,,,,,,,,,,,,
19,,,,,s34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,s35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,s23,,,,,,,s24,,,,s25,,,,,,,,,,,,,,,,,,,,,,,,36,27,28,,,
22,,s23,,,,,,,s24,,,,s25,,,,,,,,,,,,,,,,,,,,,,,,,37,28,,,
23,,,,,r27,,r27,r27,,,r27,r27,,r27,r27,r27,r27,r27,,r27,r27,r27,r27,,r27,,,,,,,,,,,,,,,,,
24,,,,,r26,,r26,r26,,,r26,r26,,r26,r26,r26,r26,r26,,r26,r26,r26,r26,,r26,,,,,,,,,,,,,,,,,
25,,s23,,,,,,,s24,,,,s25,,,,,,,,,,,,,,,,,,,,,,,,,38,28,,,
26,,,,,,,,,,,,,,,,s39,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,s40,,,,s41,,s42,s43,,s44,,,s45,,s46,,,,,,,,,,,,,,,,,
28,,,,,r25,,r25,r25,,,r25,r25,,r25,r25,r25,r25,r25,,r25,r25,r25,r25,,r25,,,,,,,,,,,,,,,,,
29,,,,,,,r2,r2,,,,,,,,,,,r2,,r2,,,,,,,,,,,,,,,,,,,,,
30,,r29,r29,,,r29,r29,r29,r29,r29,,,r29,,,,,,,,r29,,,r29,,,,,,,,,,,,,,,,47,,
31,,,,,,,,r3,,,,,,,,,,,,,r3,,,,,,,,,,,,,,,,,,,,,
32,,r29,r29,,,r29,r29,r29,r29,r29,,,r29,,,,,,,,r29,,,r29,,,,,,,,,,,,,,,,48,,
33,,r29,r29,,,r29,r29,r29,r29,r29,,,r29,,,,,,,,r29,,,r29,,,,,,,,,,,,,,,,49,,
34,,r29,r29,,,r29,r29,r29,r29,r29,,,r29,,,,,,,,r29,,,r29,,,,,,,,,,,,,,,,50,,
35,,r29,r29,,,r29,r29,r29,r29,r29,,,r29,,,,,,,,r29,,,r29,,,,,,,,,,,,,,,,51,,
36,,,,,s52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,r6,r6,,,s40,r6,,,s41,,s42,s43,,s44,r6,r6,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,s40,,,s53,s41,,s42,s43,,s44,,,,,,,,,,,,,,,,,,,,,,
39,,r29,r29,,,r29,r29,r29,r29,r29,,,r29,,,,,,,,r29,,,r29,,,,,,,,,,,,,,,,54,,
40,,s23,,,,,,,s24,,,,s25,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,
41,,s23,,,,,,,s24,,,,s25,,,,,,,,,,,,,,,,,,,,,,,,,56,28,,,
42,,s23,,,,,,,s24,,,,s25,,,,,,,,,,,,,,,,,,,,,,,,,57,28,,,
43,,s23,,,,,,,s24,,,,s25,,,,,,,,,,,,,,,,,,,,,,,,,58,28,,,
44,,s23,,,,,,,s24,,,,s25,,,,,,,,,,,,,,,,,,,,,,,,,59,28,,,
45,,s23,,,,,,,s24,,,,s25,,,,,,,,,,,,,,,,,,,,,,,,,60,28,,,
46,,s23,,,,,,,s24,,,,s25,,,,,,,,,,,,,,,,,,,,,,,,,61,28,,,
47,,,s7,,,s8,r11,r11,s9,s10,,,,,,,,,,,r11,,,s5,,,,,11,,62,14,15,16,,,,,,,,
48,,s23,,,,,,,s24,,,,s25,,,,,,,,,,,,,,,,,,,,,,,,,63,28,,,
49,,s23,,,,,,,s24,,,,s25,,,,,,,,,,,,,,,,,,,,,,,,,64,28,,,
50,,,s7,,,s8,r11,r11,s9,s10,,,,,,,,,,,r11,,,s5,,,,,11,,65,14,15,16,,,,,,,,
51,,,s7,,,s8,r11,r11,s9,s10,,,,,,,,,,,r11,,,s5,,,,,11,,66,14,15,16,,,,,,,,
52,,r29,r29,,,r29,r29,r29,r29,r29,,,r29,,,,,,,,r29,,,r29,,,,,,,,,,,,,,,,67,,
53,,,,,r28,,r28,r28,,,r28,r28,,r28,r28,r28,r28,r28,,r28,r28,r28,r28,,r28,,,,,,,,,,,,,,,,,
54,,,s7,,,s8,r11,r11,s9,s10,,,,,,,,,,,r11,,,s5,,,,,11,,68,14,15,16,,,,,,,,
55,,,,,r24,,r24,r24,,,r24,r24,,r24,r24,r24,r24,r24,,r24,r24,r24,r24,,r24,,,,,,,,,,,,,,,,,
56,,,,,r22,,r22,r22,,,r22,r22,,r22,r22,r22,r22,r22,,r22,r22,r22,r22,,r22,,,,,,,,,,,,,,,,,
57,,,,,r20,,r20,r20,,,r20,r20,,r20,s41,r20,r20,r20,,s44,r20,r20,r20,,r20,,,,,,,,,,,,,,,,,
58,,,,,r21,,r21,r21,,,r21,r21,,r21,s41,r21,r21,r21,,s44,r21,r21,r21,,r21,,,,,,,,,,,,,,,,,
59,,,,,r23,,r23,r23,,,r23,r23,,r23,r23,r23,r23,r23,,r23,r23,r23,r23,,r23,,,,,,,,,,,,,,,,,
60,,,,,r19,,,,,,s40,,,,s41,r19,s42,s43,,s44,,,,,,,,,,,,,,,,,,,,,,
61,,,,,r18,,,,,,s40,,,,s41,r18,s42,s43,,s44,,,,,,,,,,,,,,,,,,,,,,
62,,r29,r29,,,r29,r29,r29,r29,r29,,,r29,,,,,,,,r29,,,r29,,,,,,,,,,,,,,,,69,,
63,,,,,r17,,,,,,s40,,,,s41,,s42,s43,,s44,,,,,,,,,,,,,,,,,,,,,,
64,,,,,r16,,,,,,s40,,,,s41,,s42,s43,,s44,,,,,,,,,,,,,,,,,,,,,,
65,,r29,r29,,,r29,r29,r29,r29,r29,,,r29,,,,,,,,r29,,,r29,,,,,,,,,,,,,,,,70,,
66,,r29,r29,,,r29,r29,r29,r29,r29,,,r29,,,,,,,,r29,,,r29,,,,,,,,,,,,,,,,71,,
67,,,s7,,,s8,r11,r11,s9,s10,,,,,,,,,,,r11,,,s5,,,,,11,,72,14,15,16,,,,,,,,
68,,,,,,,r30,r12,,,,,,,,,,,,,r12,,,,,,,,,,,,,,,,,,,,73,
69,,,,,,,,r4,,,,,,,,,,,,,r4,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,r14,r14,,,,,,,,,,,,,r14,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,r15,r15,,,,,,,,,,,,,r15,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,r10,r10,,,,,,,,,,,,,r10,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,s74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,r29,r29,,,r29,r29,r29,r29,r29,,,r29,,,,,,,,r29,,,r29,,,,,,,,,,,,,,,,75,,
75,,,s7,,,s8,r11,r11,s9,s10,,,,,,,,,,,r11,,,s5,,,,,11,,76,14,15,16,,,,,,,,
76,,,,,,,r13,r13,,,,,,,,,,,,,r13,,,,,,,,,,,,,,,,,,,,,
